timestamp,cpu_percent,mem_total,mem_used,mem_percent,disk_total,disk_used,disk_percent
2025-03-29 16:23:02,33.5,7.75,6.58,84.9,237.66,180.25,75.8
2025-03-29 16:23:08,12.9,7.75,6.54,84.4,237.66,180.25,75.8
2025-03-29 16:23:14,6.5,7.75,6.54,84.4,237.66,180.25,75.8
